z_zonekey,z_name,trip_count
21286,Ndélé,35
80341,乐山市,27
88075,锡林郭勒盟 ᠰᠢᠯᠢ ᠶᠢᠨ ᠭᠣᠣᠯ ᠠᠶᠢᠮᠠᠭ,19
54540,Blackall Tambo Regional,18
32714,Haraze-Mangueigne,14
70342,Lac Iro,13
85010,Олёкминский улус,10
64794,Nakhl,9
73242,Boven Digoel,9
146810,لواء قصبة العقبة,9
70577,凉山彝族自治州 ꆃꎭꆈꌠꊨꏦꏱꅉꍏ,8
116871,Ouadda,8
137188,Bamingui,8
13857,宜宾市,7
42406,雅安市,7
72057,נפת באר שבע,7
75746,North Fly District,7
16916,Заполярный район,5
18552,Shelby County,5
39513,Mills County,5
69411,Сунтарский улус,5
44250,Луцький район,4
63623,Mappi,4
69483,محافظة حقل,4
26628,Nuweiba,3
68592,မင်းတပ်,3
72592,Brown County,3
86090,Cercle de Tombouctou,3
105811,ᑲᑎᕕᒃ Kativik,3
122280,Pastoral Unincorporated Area,3
134761,Ogoouè et Lacs,3
2010,Shire Of Derby-West Kimberley,2
8629,Эвенкийский район,2
16548,Coryell County,2
18224,Bojanala Platinum District Municipality,2
27430,眉山市,2
27514,Zoueratt,2
32606,ئاقسۇ ۋىلايىتى - 阿克苏地区,2
33622,Batha Ouest,2
38074,阿拉善盟 ᠠᠯᠠᠱᠠ ᠠᠶᠢᠮᠠᠭ,2
47021,Longreach Regional,2
49529,和田地区 خوتەن ۋىلايىتى,2
55121,Dôa,2
73694,Shire of Halls Creek,2
76920,Northern Rockies Regional Municipality,2
98496,Среднеколымский улус,2
120718,قلات ڈویژن,2
124108,Middle Fly District,2
126309,Первомайский район,2
133821,Калевальский район,2
137503,Володимирський район,2
557,Municipio Maturín,1
598,Winn Parish,1
728,Powiat Gryficki,1
1811,Kiffa,1
1983,Diamantina Shire,1
2216,شهرستان فریدون شهر,1
2366,Верхоянский улус,1
2635,Юстинский район,1
3413,Maralinga Tjarutja,1
3507,Шептицький район,1
4240,内江市,1
5372,Moultrie County,1
6098,Escárcega,1
6195,Marigat,1
7041,Central Darling Shire Council,1
8942,仙法志,1
10695,Blantyre,1
11261,Cariboo Regional District,1
13183,Benewah County,1
13702,Shire Of Ngaanyatjarraku,1
15012,Comoé,1
15247,Maïné-Soroa,1
16285,Southwest Rural District,1
18405,丽江市,1
20189,Wajir North,1
23081,محافظة وادي الدواسر,1
24748,Farrukhabad,1
26261,Sidhi,1
26388,Анадырский район,1
26391,Мирнинский улус,1
28136,Birao,1
28781,Abu Hamad,1
29159,Peace River Regional District,1
30246,Provincia de Elqui,1
30429,El Retorno,1
31618,Provincia de Mamoré,1
32512,محافظة المدينة المنورة,1
33315,Departamento Nueve de Julio,1
33481,Zululand District Municipality,1
33677,Departamento Santa María,1
33865,East Gojam,1
34098,Abanga-Bignè,1
34180,La Haute-Côte-Nord,1
34449,Calvillo,1
34500,Navolato,1
35326,Mutshatsha,1
35829,Daïra de Reggane,1
36369,Téra,1
36570,Hamilton County,1
37857,Sur Chichas,1
38098,Unorganized Division No. 23,1
40934,Boulia Shire,1
43086,Sakania,1
44204,Loreto,1
46115,Sinda District,1
47103,Lincoln County,1
49042,Мясниковский район,1
49777,Bashkia Këlcyrë,1
51276,Bhadrak,1
51866,Camucuio,1
52295,Komo-Mondah,1
52319,Баянбулаг ᠪᠠᠶ᠋ᠠᠨᠪᠤᠯᠠᠭ,1
53059,شهرستان بندرعباس,1
53110,Randolph County,1
53567,Halfa,1
53665,Al-Hasna,1
55745,Shire Of Carnarvon,1
56100,Алданский улус,1
56341,石家庄市,1
58393,Machinga,1
59449,محافظة القنفذة,1
60238,Finspångs kommun,1
61335,Amathole District Municipality,1
62177,Дубенський район,1
63449,Municipio Angostura,1
63802,Waterberg District Municipality,1
64383,Provincia de Aysén,1
64988,Onyaanya,1
66412,Cercle de Bougouni,1
66996,Mohave County,1
67140,ထီးလင်း,1
68243,муниципальный округ Приуральский район,1
69229,ပေါင်,1
70841,Kurtunwaarey,1
71784,Tamchekett,1
72329,Déline District,1
72662,Денисов ауданы,1
73343,黑河市,1
74001,Корякский округ,1
74044,Ohio County,1
74246,Bent County,1
74521,Daïra Tamanrasset,1
75883,Stikine Region,1
75940,Bundas,1
76045,شهرستان سبزوار,1
77314,Krishnagiri,1
77625,محافظة رنيه,1
78031,Aabenraa Kommune,1
79752,Нижнеколымский улус,1
81276,济南市,1
81489,Nipissing District,1
81852,Al Ganab,1
83191,Madera County,1
83283,Osage County,1
87701,Bilma,1
87722,Nkasi,1
89639,昌都市 ཆབ་མདོ་ས་ཁུལ།,1
89826,玉树藏族自治州 ཡུལ་ཤུལ་བོད་རིགས་རང་སྐྱོང་ཁུལ།,1
91102,Прионежский район,1
91362,Chama District,1
91910,泸州市,1
92490,Бориспільський район,1
93605,Twic,1
94275,Macdonnell Region,1
96735,Нерюнгринский улус,1
97265,Saddle Hills County,1
98744,Охотский муниципальный округ,1
98949,အင်းတော်,1
99136,Arvidsjaurs kommun,1
99755,East Bank Berbice,1
100490,ပလက်ဝ,1
101003,Seoni,1
101218,ہزارہ ڈویژن,1
101601,Gotlands kommun,1
102200,自贡市,1
102285,Iglesia,1
102492,Tiwi Islands Region,1
103190,Daïra d'In Salah,1
103973,Calhoun County,1
104055,Barkly Region,1
104270,Telefomin District,1
105658,Putumayo,1
106856,Corpen Aike,1
108100,San Miguel County,1
110031,Пенжинский район,1
111086,Kehys-Kainuun seutukunta,1
111843,Requena,1
112061,Bell County,1
112660,ဟားခါး,1
112744,清远市,1
113357,Inuvialuit Settlement Region,1
113530,Afabet,1
115339,Ермаковский район,1
115369,Zémio,1
115912,Murehwa,1
117127,Маларыцкі раён,1
117609,Kishanganj,1
118684,Balaka,1
119318,Зүүнговь ᠵᠡᠭᠦᠩᠭ᠋ᠣᠪᠢ,1
119393,Big Lakes County,1
119636,Kariba,1
120404,沧州市,1
120771,Laas Caanood لاس عانود,1
122178,Новоузенский район,1
124002,Kreis Unna,1
126143,Reifi Telkok,1
127114,那曲市 ནག་ཆུ་ས་ཁུལ།,1
127977,Gladstone Regional,1
128274,大庆市,1
128466,North Western,1
129867,Toyotomi,1
130130,Усть-Алданский улус,1
130732,昭通市,1
131317,Тындинский муниципальный округ,1
131578,Өлзийт ᠥᠯᠵᠡᠶᠢᠲᠦ,1
133443,Арзгирский муниципальный округ,1
133758,Kankossa,1
133802,Merauke,1
134616,Provincia Nor Chichas,1
134744,Quissama,1
135458,Верхнебуреинский район,1
135610,Манлай ᠮᠩᠯᠠᠢ,1
136594,Gajapati,1
136976,Шилүүстэй ᠰᠢᠯᠦᠭᠦᠰᠦᠲᠡᠢ,1
137758,Province de Figuig إقليم الناظور,1
138057,Ovia South-West,1
138311,رخشان ڈویژن,1
138409,Sevilla,1
139011,承德市,1
139411,Каа-Хемский кожуун,1
141523,Provincia de Tocopilla,1
141725,Antonio Quijarro,1
142192,Pyrénées-Atlantiques,1
142305,Igunga,1
142661,ခန္တီး,1
142675,Nuevo Zoquiápam,1
143271,Noya,1
143697,مکران ڈویژن,1
144304,Jaipur(Rural),1
146015,Douglas County,1
146149,Gobernador Dupuy,1
146703,Kurung Kumey,1
146817,Franklin County,1
147623,Mount Darwin,1
147963,Keilak,1
148738,တိုက်ကြီးမြို့နယ်,1
149106,Coconino County,1
149364,San Saba County,1
149724,Hjelmeland,1
150852,واشېر ولسوالۍ,1
150998,Kendrapara,1
151658,Al Malha,1
152864,Mederdra,1
153163,Билибинский район,1
153672,Zone 3,1
154359,Среднеканский муниципальный округ,1
154713,Concepción,1
