t_tripkey,reported_distance_m,line_distance_m,detour_ratio
4688563,0.0001,11111.126052681648,8.99998789734414e-09
2380123,0.0001,11111.126095065882,8.999987863013003e-09
3077131,0.0001,11111.126138581423,8.99998782776551e-09
1702730,0.0001,11111.126168640463,8.999987803417754e-09
3343884,0.0001,11111.126195686249,8.999987781510727e-09
4962756,0.0001,11111.12619692106,8.999987780510533e-09
1435640,0.0001,11111.126212002468,8.999987768294626e-09
1166096,0.0001,11111.126225007953,8.999987757760211e-09
238602,0.0001,11111.126235605192,8.99998774917647e-09
1975682,0.00012,13333.351490132389,8.999987744177327e-09
848464,0.0001,11111.12624572761,8.999987740977335e-09
412851,0.0001,11111.126261246347,8.999987728407191e-09
5542126,0.0001,11111.126267238595,8.999987723553484e-09
4880375,0.0001,11111.126275249468,8.999987717064695e-09
700394,0.0001,11111.12628532422,8.999987708904168e-09
5358017,0.0001,11111.126313331675,8.99998768621819e-09
4438909,0.0001,11111.12631729285,8.999987683009648e-09
2182306,0.0001,11111.126319240815,8.999987681431801e-09
5970399,0.0001,11111.126323896719,8.999987677660529e-09
190235,0.0001,11111.12636702675,8.999987642725299e-09
573829,0.0001,11111.126378777408,8.999987633207294e-09
15067,0.00012,13333.351668922613,8.999987623494256e-09
2370743,0.0001,11111.12639795984,8.999987617669566e-09
5652510,0.00012,13333.351684967749,8.99998761266382e-09
1127962,0.0001,11111.126406497826,8.999987610753817e-09
3527506,0.0001,11111.126424996977,8.999987595769546e-09
4319435,0.0001,11111.126429456785,8.99998759215711e-09
1848171,0.0001,11111.12643297092,8.99998758931067e-09
1890357,0.0001,11111.126436540193,8.999987586419566e-09
2934822,0.0001,11111.126480234745,8.999987551027077e-09
2456316,0.00012,13333.351786461157,8.999987544155959e-09
1089647,0.0001,11111.126500216624,8.999987534841799e-09
2622598,0.00012,13333.351800730474,8.999987534524197e-09
1438784,0.0001,11111.126501129374,8.999987534102473e-09
2144274,0.00012,13333.351824404854,8.999987518544033e-09
3705066,0.00012,13333.35183876498,8.999987508850975e-09
3549960,0.0001,11111.126540853971,8.999987501925639e-09
5931664,0.00012,13333.351856104275,8.999987497146983e-09
2575053,0.00012,13333.35188050339,8.999987480677627e-09
422410,0.00012,13333.351894252099,8.999987471397274e-09
2804628,0.00012,13333.351907139571,8.999987462698254e-09
529321,0.0001,11111.126591676077,8.99998746075985e-09
2114521,0.00012,13333.351920552414,8.999987453644612e-09
394930,0.0001,11111.126605694519,8.999987449404942e-09
2710567,0.00012,13333.351967271085,8.999987422109597e-09
3316440,0.0001,11111.126652552388,8.999987411450174e-09
3000569,0.0001,11111.126656707127,8.999987408084846e-09
2409929,0.0001,11111.126741282294,8.999987339579152e-09
2620578,0.00012,13333.352090459999,8.999987338957312e-09
5251594,0.00012,13333.352112052715,8.99998732438227e-09
3798285,0.0001,11111.126774008733,8.99998731307081e-09
2157046,0.0001,11111.12679248418,8.999987298105742e-09
4354173,0.00012,13333.35218632373,8.999987274249478e-09
5267731,0.0001,11111.12682345595,8.999987273018677e-09
661917,0.00012,13333.352190440764,8.999987271470487e-09
1751137,0.0001,11111.126827200926,8.999987269985257e-09
4963024,0.0001,11111.126840351433,8.999987259333376e-09
4832834,0.00012,13333.3522172278,8.999987253389288e-09
4785619,0.0001,11111.126857190804,8.999987245693524e-09
429008,0.0001,11111.126857573381,8.999987245383637e-09
1792143,0.0001,11111.126862111527,8.999987241707749e-09
1549552,0.00012,13333.352256482085,8.99998722689272e-09
2593169,0.00012,13333.352259739126,8.999987224694225e-09
1320855,0.00012,13333.35226280103,8.999987222627445e-09
4707794,0.00012,13333.352266226066,8.999987220315553e-09
1688299,0.0001,11111.126895536272,8.999987214633783e-09
4650467,0.00012,13333.352285328778,8.999987207421258e-09
1845895,0.00012,13333.352285683968,8.999987207181506e-09
2501692,0.0001,11111.12693862331,8.99998717973338e-09
178154,0.00012,13333.352337844863,8.999987171973002e-09
4164943,0.0001,11111.126964015491,8.999987159165773e-09
42570,0.00012,13333.352366176872,8.99998715284895e-09
4698087,0.0001,11111.12697499859,8.999987150269488e-09
4983404,0.0001,11111.126977813763,8.999987147989205e-09
5958221,0.00012,13333.352387753144,8.999987138285008e-09
1277148,0.00012,13333.352398682906,8.99998713090744e-09
3298403,0.00012,13333.352426813053,8.999987111919645e-09
4534528,0.00012,13333.352434786895,8.999987106537318e-09
4387862,0.00012,13333.352444643426,8.999987099884179e-09
2864989,0.0001,11111.12704418799,8.999987094226235e-09
32892,0.00012,13333.35246435858,8.999987086576487e-09
3489294,0.0001,11111.12706424173,8.999987077982752e-09
5297607,0.0001,11111.127067423535,8.999987075405497e-09
1697547,0.00012,13333.352491723394,8.99998706810529e-09
5147481,0.00012,13333.352508889944,8.999987056517903e-09
251359,0.0001,11111.127093265271,8.999987054473751e-09
3905234,0.00012,13333.35251867028,8.999987049916196e-09
4289012,0.0001,11111.127106564085,8.999987043701744e-09
3207569,0.0001,11111.127108293433,8.999987042300976e-09
2840540,0.00012,13333.352540520937,8.999987035167045e-09
3232314,0.00012,13333.352553875658,8.999987026152632e-09
4853991,0.00012,13333.352583137368,8.999987006401037e-09
5129223,0.0001,11111.127160520304,8.999986999997332e-09
228238,0.0001,11111.12717911295,8.999986984937333e-09
4287747,0.0001,11111.12720177547,8.999986966580744e-09
3374407,0.0001,11111.127215751785,8.999986955259962e-09
771926,0.00012,13333.352678149478,8.999986942268048e-09
1130648,0.00012,13333.352683212292,8.999986938850659e-09
417779,0.00012,13333.352687755752,8.99998693578383e-09
1588183,0.00012,13333.352692171564,8.999986932803168e-09
