z_zonekey,pickup_zone,avg_duration_seconds,avg_distance,num_trips
76731,Noniya,777871.0,0.00432,1
217650,Marghita,297988.666,0.001653333,3
215687,Lawesarra,262892.333,0.001456666,3
276905,Витковци,193590.0,0.00107,1
3456,Petricani,190364.0,0.00105,1
117174,Dalocak Mahallesi,190364.0,0.00105,1
242682,Lorakheri,190364.0,0.00105,1
152885,Gelana,190184.0,0.00105,1
308905,Luisenhof,186534.0,0.00103,1
385658,Amari,184715.0,0.00102,1
70087,Guachene,184463.0,0.00102,1
165934,Racoș,184463.0,0.00102,1
123202,Sırçalık Mahallesi,181868.0,0.00101,1
251542,Beechwood Village,180717.0,0.001,1
277045,José Hernández,167673.0,0.00093,1
282385,Foilduff,167673.0,0.00093,1
293224,Charighaon,167673.0,0.00093,1
431027,Kopçu Mahallesi,166648.0,0.00092,1
180163,Mastholte,124023.0,0.00068,1
274273,Katastralgemeinde Schletz,101212.0,0.000555,2
273678,Abadabad,96621.5,0.00053,2
182971,Naledi Ward 4,95622.0,0.000525,2
267241,Zaljut,94459.5,0.00052,2
244135,Saint-Sulpice-des-Landes,93671.0,0.00052,2
151290,Grand Cess Wedabo,93654.5,0.000515,2
12435,Șerbănești,87696.0,0.00048,1
3921,Norris Arm,85442.666,0.00047,3
177058,Basargaon,71898.0,0.00039,1
195701,Ungheni,71898.0,0.00039,1
346826,городской округ Гусь-Хрустальный,66805.0,0.000366666,3
166084,Livezile,66115.0,0.00036,3
304674,Bhita,66046.333,0.000363333,3
1323,Johannesburg Ward 118,64859.0,0.000356666,3
417227,Hardua,63686.0,0.00035,3
229419,Ghughra,63314.333,0.000346666,3
74813,湯口,63249.0,0.00035,1
356137,Carrington,63249.0,0.00035,1
177863,Karlskoga kommun,57840.25,0.0003175,4
125426,Kef El H'mam,57563.0,0.00031,1
157408,Wiang Chiang Rung,56059.266,0.000306666,15
61090,Neustadt,54450.0,0.0003,1
40805,Khodal,53880.75,0.000295,4
187275,Մարտունի համայնք,51874.2,0.000284,5
106409,Lens,51729.0,0.00028,1
152403,Castel di Leva,51136.25,0.00028,4
55841,Oluklu Mahallesi,50799.25,0.0002775,4
378343,Distrito Municipal de KaTembe,50124.75,0.0002725,4
307667,Polo,49932.75,0.0002725,4
408156,Alkmaar,49535.0,0.00027,1
195724,Balao,49484.5,0.00027,4
27735,Morelos,49318.25,0.0002675,4
395957,Jardim Primavera,48020.5,0.0002625,4
406092,Cloonfinlough,47801.0,0.00026,1
186681,Değirmencik,47790.25,0.00026,4
229505,Circoscrizione 3,47421.0,0.00026,1
167556,Nichror,47396.0,0.00026,1
278939,Furelos,47158.0,0.00026,1
113055,Nawatola,46540.5,0.000255,4
106493,Nerkhera,46083.0,0.00025,1
30103,Enclave de Gbeubly,46027.0,0.00025,1
219409,Dhangaon,45640.0,0.00025,1
454209,Khajarwari,45457.0,0.00025,1
281584,Bois de Manhal,45343.5,0.000245,2
136845,Katastralgemeinde Hafing,45298.0,0.00025,1
350302,Campbell County,45108.0,0.000245,4
305605,Narainpur,45062.0,0.00025,1
164472,Dilo,44957.0,0.00024,1
219091,Jamuniyan,44947.0,0.00024,1
433367,Bandha,44866.0,0.00024,1
354663,Adharsha-04,44665.5,0.000245,2
87802,Marqués de Sobremonte,44608.0,0.00024,1
327602,الحطيم,44488.0,0.00024,1
313049,Stânceni,44469.0,0.00024,1
384264,Corgirnon,44469.0,0.00024,1
191304,Sathini,44339.5,0.00024,2
225738,Yalım Mahallesi,44333.0,0.00024,1
7660,Ključ,44254.5,0.00024,2
266100,Mandawa Bk,44201.0,0.00024,1
68806,Ballyheyland,44128.0,0.00024,1
177724,الحى 8,44128.0,0.00024,1
387827,Băneasa,44128.0,0.00024,1
365284,Jamuniya,44090.0,0.00024,1
289855,West Hill,44000.0,0.00024,1
334804,Khari,43982.0,0.00024,1
261645,Patra,43980.0,0.00024,1
101645,Hawl Wadaag حول وداك,43834.0,0.00024,1
420072,Kemal Paşa Mahallesi,43764.0,0.00024,1
13900,Guthichaur-04,43694.0,0.00024,1
112862,الاباجيه,43694.0,0.00024,1
42332,Dorrao/Torrano,43529.0,0.00024,1
287548,Bisapur,43529.0,0.00024,1
260063,Jamli,43505.0,0.00024,1
163,городской округ Кинешма,43501.0,0.00024,1
180921,Setewani,43478.0,0.00024,1
125625,Comunidad Indígena Independiente,43472.0,0.00024,1
346621,Parkland,43420.0,0.00024,1
168967,Tapi,43355.0,0.00024,1
397544,Amthera,43352.0,0.00024,1
89655,Saloy,43346.0,0.00024,1
371519,Nied,43335.0,0.00024,1
