pickup_month,total_trips,avg_distance,avg_duration_seconds,avg_fare
1992-01-01,1,0.0,0.0,0.0
1992-02-01,3,0.0,7.666,0.0
1992-03-01,4,1.75e-05,4189.0,5.25e-05
1992-04-01,4,5.25e-05,11011.75,0.000115
1992-06-01,2,2e-05,4180.5,4.5e-05
1992-07-01,4,2e-05,4678.25,6e-05
1992-08-01,6,5e-06,1813.166,2e-05
1992-09-01,1,2e-05,4570.0,6e-05
1992-10-01,2,0.000125,23296.5,0.000325
1992-11-01,1,0.0001,18178.0,0.00028
1992-12-01,3,0.000113333,21796.666,0.00024
1993-02-01,3,4.6666e-05,9753.0,0.000106666
1993-03-01,4,1e-05,2327.0,2.5e-05
1993-04-01,2,4e-05,7778.0,9e-05
1993-05-01,5,8e-06,1774.2,1.6e-05
1993-06-01,2,7e-05,12929.0,0.00015
1993-07-01,2,3e-05,5797.5,6.5e-05
1993-08-01,3,6.666e-06,2270.333,1.6666e-05
1993-09-01,1,1e-05,2459.0,2e-05
1993-10-01,1,5e-05,9117.0,0.00014
1993-11-01,2,7e-05,13911.5,0.00018
1993-12-01,4,1.5e-05,3510.5,4.75e-05
1994-01-01,4,7.25e-05,14299.25,0.0001825
1994-02-01,3,2.6666e-05,6180.666,6.3333e-05
1994-03-01,5,1.6e-05,3920.8,5e-05
1994-04-01,1,1e-05,2371.0,3e-05
1994-05-01,2,2.5e-05,5444.5,6.5e-05
1994-06-01,3,2.3333e-05,4496.666,4.3333e-05
1994-08-01,7,1.4285e-05,3334.428,4.2857e-05
1994-09-01,3,1.6666e-05,4455.0,4.6666e-05
1994-10-01,1,0.0,126.0,0.0
1994-11-01,5,4.2e-05,8061.8,0.0001
1994-12-01,1,0.0,959.0,0.0
1995-02-01,3,7e-05,13427.333,0.000126666
1995-03-01,4,1e-05,2627.0,3.5e-05
1995-04-01,5,1.8e-05,3565.4,4.8e-05
1995-05-01,1,1e-05,2814.0,2e-05
1995-06-01,2,0.0,167.5,0.0
1995-07-01,1,1e-05,2041.0,2e-05
1995-08-01,1,0.0001,18006.0,0.00016
1995-09-01,3,2e-05,4725.0,4.3333e-05
1995-10-01,3,5e-05,10124.333,0.000123333
1995-11-01,6,2.1666e-05,5017.5,6e-05
1995-12-01,1,8e-05,15490.0,0.0002
1996-01-01,5,3.2e-05,6303.2,6.2e-05
1996-03-01,5,2e-05,4488.0,5.2e-05
1996-04-01,4,5e-06,1890.75,1.25e-05
1996-05-01,2,1e-05,3286.0,3e-05
1996-06-01,6,8.333e-06,2135.0,2.6666e-05
1996-07-01,2,5e-06,2386.5,2e-05
1996-08-01,5,2.2e-05,4678.6,4.2e-05
1996-09-01,3,2.6666e-05,5599.666,5.6666e-05
1996-10-01,2,2e-05,3897.0,5e-05
1996-11-01,2,4.5e-05,9007.5,8.5e-05
1996-12-01,3,1.3333e-05,3457.333,5e-05
1997-01-01,1,0.0,1568.0,1e-05
1997-02-01,2,0.00012,21633.5,0.000185
1997-03-01,7,1.2857e-05,3259.142,3.8571e-05
1997-04-01,2,1e-05,2055.0,2e-05
1997-05-01,2,2.5e-05,5377.5,7e-05
1997-06-01,5,2.8e-05,5809.6,7.4e-05
1997-07-01,5,2.2e-05,4996.8,5.8e-05
1997-08-01,1,0.0,0.0,0.0
1997-09-01,4,2.25e-05,4875.25,5e-05
1997-10-01,1,2e-05,3972.0,4e-05
1997-11-01,5,1.8e-05,3965.8,4.2e-05
1997-12-01,2,2.5e-05,5562.5,7.5e-05
1998-01-01,1,6e-05,12220.0,0.00012
1998-02-01,3,2.3333e-05,5113.0,6.6666e-05
1998-03-01,6,3.1666e-05,6421.0,9.1666e-05
1998-04-01,3,4.6666e-05,8729.333,9.6666e-05
1998-05-01,2,9.5e-05,17910.5,0.000215
1998-06-01,1,1e-05,2337.0,2e-05
1998-07-01,1,2e-05,5095.0,8e-05
1998-08-01,3,3e-05,6539.0,8e-05
1998-09-01,1,2e-05,4521.0,4e-05
1998-10-01,3,2.3333e-05,4945.333,5.6666e-05
1998-11-01,4,2.25e-05,5006.5,5.25e-05
1998-12-01,2,1.5e-05,3175.5,4e-05
