c_custkey,customer_name,pickup_month,monthly_travel_hull_area,dropoff_count
251473,Customer#000251473,1998-07-01,37640.828480172175,8
135082,Customer#000135082,1993-09-01,37325.77519331563,9
92572,Customer#000092572,1997-10-01,37270.22062331993,9
2767,Customer#000002767,1993-10-01,36837.665353966106,7
275929,Customer#000275929,1996-12-01,35962.22469978031,12
215668,Customer#000215668,1994-02-01,35899.425400792425,8
90856,Customer#000090856,1992-05-01,35844.65838877812,7
272206,Customer#000272206,1998-09-01,35666.48183095089,8
130375,Customer#000130375,1994-12-01,35489.50511749966,9
130675,Customer#000130675,1996-03-01,35252.880589203014,9
7855,Customer#000007855,1993-03-01,35239.932857935186,9
109606,Customer#000109606,1992-05-01,35175.50540900185,9
246760,Customer#000246760,1997-07-01,35128.80716180034,10
270595,Customer#000270595,1998-12-01,35104.96928320369,9
149881,Customer#000149881,1992-07-01,35052.602814319536,9
160,Customer#000000160,1992-09-01,35025.427534213224,8
39802,Customer#000039802,1993-08-01,34991.27617625119,10
221644,Customer#000221644,1992-01-01,34811.194326911995,6
154300,Customer#000154300,1998-09-01,34703.47316623129,8
46411,Customer#000046411,1992-10-01,34587.94218355763,8
272440,Customer#000272440,1996-11-01,34571.26287366335,8
200698,Customer#000200698,1998-12-01,34565.333812976496,12
21535,Customer#000021535,1992-04-01,34506.76167247083,7
216295,Customer#000216295,1997-10-01,34498.33218373384,10
178960,Customer#000178960,1994-11-01,34450.883799985524,10
209398,Customer#000209398,1997-01-01,34420.96334308045,10
246247,Customer#000246247,1995-06-01,34420.747474248165,12
39310,Customer#000039310,1992-03-01,34419.01551096094,12
83465,Customer#000083465,1992-07-01,34389.3418116448,6
8173,Customer#000008173,1997-12-01,34376.721784411224,13
232915,Customer#000232915,1992-05-01,34351.48771909502,8
213247,Customer#000213247,1994-12-01,34350.76380860828,7
153439,Customer#000153439,1993-05-01,34349.88337830013,13
97315,Customer#000097315,1992-02-01,34295.82820350413,9
271576,Customer#000271576,1997-02-01,34282.270740309,7
30790,Customer#000030790,1993-06-01,34234.62112556465,10
96244,Customer#000096244,1995-04-01,34226.96258960156,6
298753,Customer#000298753,1992-10-01,34156.42428812465,8
135787,Customer#000135787,1997-02-01,34144.80518049505,10
109978,Customer#000109978,1995-04-01,34100.64322789149,9
188902,Customer#000188902,1992-03-01,34032.09028180795,9
38557,Customer#000038557,1994-09-01,34001.9792072859,12
40042,Customer#000040042,1992-01-01,33974.56831410888,7
119032,Customer#000119032,1997-10-01,33957.48562810379,7
139045,Customer#000139045,1995-05-01,33944.79461872192,9
235315,Customer#000235315,1992-01-01,33928.73736268332,12
170188,Customer#000170188,1997-03-01,33921.95055190372,8
101272,Customer#000101272,1995-09-01,33863.76088794318,9
179452,Customer#000179452,1993-01-01,33862.31430074572,10
252505,Customer#000252505,1998-05-01,33861.51849550483,8
85906,Customer#000085906,1996-10-01,33858.7801557214,12
8875,Customer#000008875,1998-11-01,33856.30758360235,7
