b_buildingkey,b_name,nearby_pickup_count
3779,linen,413
19135,misty,402
49095,deep,332
21056,chartreuse,312
48993,indian,312
34229,indian,310
30026,black,299
12627,salmon,270
37645,sandy,268
31617,salmon,265
58786,rosy,247
81724,peru,243
1906,burlywood,232
18026,chocolate,232
17698,maroon,226
25094,ivory,226
4416,sienna,224
20462,midnight,223
84098,drab,222
75014,aquamarine,212
42203,hot,207
49435,navy,207
60806,khaki,206
39035,indian,203
23445,dark,202
37786,thistle,195
41054,dim,195
44533,firebrick,195
48872,cornflower,190
11226,black,184
83984,magenta,184
57424,grey,179
17691,coral,172
32579,ghost,170
85592,cornflower,170
25069,indian,169
68229,blush,169
70995,powder,164
52956,tan,157
23411,smoke,156
31171,midnight,155
58675,puff,155
29080,powder,152
39932,beige,147
18989,red,146
66270,khaki,145
84582,steel,145
18434,misty,144
65572,antique,141
8278,yellow,140
28123,tan,140
32037,navy,140
69584,beige,139
66325,orchid,137
84267,navajo,136
70267,cyan,133
7777,bisque,132
56034,medium,132
48705,goldenrod,131
79184,puff,131
46502,chartreuse,128
60964,bisque,127
78958,grey,127
78221,metallic,125
83111,powder,125
57243,orange,124
65454,orchid,124
71033,drab,124
27909,plum,121
1602,mint,116
16413,lime,111
17981,maroon,107
30388,green,106
34568,peru,104
37374,mint,104
49852,sky,104
85752,forest,104
47227,orchid,101
18703,lace,100
41233,seashell,100
23990,honeydew,99
38040,spring,99
37993,lavender,98
86034,blue,98
81519,cornflower,97
50782,thistle,96
50012,misty,95
19953,mint,91
79205,blue,89
71415,aquamarine,88
735,wheat,85
49237,burnished,83
57742,hot,83
15870,purple,81
19283,firebrick,81
56570,khaki,81
53971,papaya,80
12218,lawn,79
56311,spring,78
70145,saddle,77
